nama_kabupaten_kota,kode_kabupaten_kota,poverty_rate,population,hdi,unemployment_rate,avg_income,latitude,longitude
KABUPATEN PACITAN,3501,0.15171413823294055,1129455.7395634104,62.75041888291987,0.1195789686141629,3670403.7873750506,-7.9597140378831055,113.65246138662529
KABUPATEN PONOROGO,3502,0.2315132947852186,1743121.2647309636,66.82132702100517,0.10795594788566576,4808464.322482343,-8.309409231022173,111.05037721020415
KABUPATEN TRENGGALEK,3503,0.09985844582977499,1252195.7745419242,62.26947042481178,0.13190680925930134,4088089.390024919,-7.716635109917793,111.4062542417742
KABUPATEN TULUNGAGUNG,3504,0.13207658460712596,1212101.235943669,78.49387236557126,0.1089135470760412,3710183.510268095,-7.345009670352084,111.16100924707614
KABUPATEN BLITAR,3505,0.20111022770860976,592217.368386332,77.54678706761962,0.0981970324002566,2291529.4813123057,-8.176268458754736,111.1425508081164
KABUPATEN KEDIRI,3506,0.0957596330983245,2023910.834949742,65.15883255430312,0.0412409721393711,3845021.680097509,-7.5656642862715,113.99411204403853
KABUPATEN MALANG,3507,0.0653959819657586,1756697.5580721537,73.19968092068358,0.07412589636713202,4970161.550312789,-8.371978802509348,113.46280250783008
KABUPATEN LUMAJANG,3508,0.10795029058275361,628696.8781249734,76.34444400402433,0.06182428412180705,2420252.0457095723,-8.42247741824709,112.65960840180564
KABUPATEN JEMBER,3509,0.08224425745080088,1196616.1605915288,71.10401623198925,0.05927875720549003,3554988.9570912104,-7.702968052647778,111.34241956227851
KABUPATEN BANYUWANGI,3510,0.23593953046851462,2770664.7149166344,70.59301156712013,0.14676126657029348,4632119.215783866,-7.689047317584841,112.72065556290892
KABUPATEN BONDOWOSO,3511,0.2116240759128834,1098904.7266674312,64.83704581800903,0.07717172696001125,4222305.8532626135,-7.54385514775269,112.65715119773198
KABUPATEN SITUBONDO,3512,0.17668075130208472,862237.1802280578,61.862055356117985,0.1370455866212536,4091047.222985804,-7.410862999416008,111.60620654468505
KABUPATEN PROBOLINGGO,3513,0.22429211803754356,1723631.9006939076,77.94431515906653,0.10573663511967155,4107452.2519613276,-7.036221880806198,112.51848077233291
KABUPATEN PASURUAN,3514,0.2107344153798229,2964126.1352765015,78.00836114326661,0.1253773564249978,3078473.4536592653,-7.725549477548207,112.3947665703908
KABUPATEN SIDOARJO,3515,0.08731401177720717,1105138.178778751,72.66202914546535,0.09031645117262305,2880775.53279348,-8.015565290588132,113.15547534318276
KABUPATEN MOJOKERTO,3516,0.22851179969799557,2180338.868514696,66.78059582097401,0.09922846615516309,4428083.4664355405,-7.307220707846945,113.22282777803676
KABUPATEN JOMBANG,3517,0.15786844838313013,2404049.038321794,66.98419149225322,0.08910212325826367,4430340.184037542,-8.093751623106888,111.15856403420216
KABUPATEN NGANJUK,3518,0.2114880310328125,1094093.859980999,74.5191135774048,0.05342915853576534,4601216.955740311,-7.841542868941546,112.31114415119265
KABUPATEN MADIUN,3519,0.22921825998469864,2320540.871529649,77.94220519905154,0.11669425383138063,4739721.657669414,-8.382315427986601,113.19050970499983
KABUPATEN MAGETAN,3520,0.11360069499437278,1419457.831798133,77.74172848530235,0.06369268349290269,3534027.1965828133,-8.461973884876814,112.7609769050303
KABUPATEN NGAWI,3521,0.07201038490553535,2080764.5764839486,75.59751091715248,0.03291791597177446,3504548.884061599,-7.056027377983113,113.99771444415913
KABUPATEN BOJONEGORO,3522,0.09558703250838835,2083824.2769022367,72.84063292308575,0.10745667550886014,4394885.536900326,-7.246029819231691,113.30542771066631
KABUPATEN TUBAN,3523,0.13542155772525127,1839436.7101868961,61.68279929990098,0.05125328152884587,3949891.7923332956,-7.456038690859453,111.570270494785
KABUPATEN LAMONGAN,3524,0.21360295318449862,725724.4251360208,63.232574281892276,0.1428550301223497,4105900.63177311,-7.886570583378595,111.24699061590151
KABUPATEN GRESIK,3525,0.2221461166512687,2588256.238973095,77.97108377054158,0.14447142924031048,4387378.008308303,-8.240058519893731,113.2484674737221
KABUPATEN BANGKALAN,3526,0.051390426106238146,1301950.1624293397,72.12858119319179,0.13978372682645382,4670016.0254526995,-8.26534443599337,111.09278958689568
KABUPATEN SAMPANG,3527,0.15214946051551315,966296.2759996356,60.18394103233259,0.07441904403065333,3013985.4705546075,-8.124635652753106,113.05021453445713
KABUPATEN PAMEKASAN,3528,0.1334822006297558,601937.8538869098,62.02943085732064,0.03185479398346409,3126748.8579198318,-7.6761600029408195,114.29080584498735
KABUPATEN SUMENEP,3529,0.09442156209414605,1977232.3579706044,73.27003538216111,0.14139822751052705,2281945.819522607,-7.428106115949906,113.01415962256557
KOTA KEDIRI,3571,0.07397307346673657,2193910.904605706,60.10123167692437,0.08138209779807772,3734840.422988522,-7.509703934923403,112.35859474172283
KOTA BLITAR,3572,0.1175230342807256,541469.5723196404,63.21616102834997,0.14599857828524035,2107826.8213902265,-8.080099154581086,113.25150876454823
KOTA MALANG,3573,0.23858194078250383,1780232.6457482025,70.97467578733172,0.14563439725071034,3396794.0543973804,-7.067702079005208,112.6038851167203
KOTA PROBOLINGGO,3574,0.11464058640415105,1066239.4379948447,73.83790395385387,0.1323611346560832,3627933.90412273,-7.393154624956347,112.90965876260577
KOTA PASURUAN,3575,0.15375812434867323,2112931.9760236247,73.03922519005201,0.06533386704835029,2859623.7563848533,-7.668468921232899,114.29512683071783
KOTA MOJOKERTO,3576,0.19060379177903558,935916.0725124786,64.4853861892112,0.07621172743223104,3772499.7817070326,-7.582418880648472,112.35135923230271
KOTA MADIUN,3577,0.1227259204758588,2227344.3452561647,74.24358442695072,0.1321364005820228,2091500.7498171483,-7.870599906358315,114.3641669733837
KOTA SURABAYA,3578,0.24435641654419216,1466838.3657513435,64.744981749936,0.06803064061875332,2112044.5662476434,-8.128403515748264,114.16872724684622
KOTA BATU,3579,0.24248945898842228,2841824.9718418363,66.50799396318536,0.0503391296023311,4467801.6819789745,-7.966040982023108,111.68526897176254
